year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Indiana Pacers,Michigan,Caris LeVert,198.12,92.98636,SG,47,1485,359,814,0.441,84,258,0.326,146,180,0.811,33,181,214,245,66,30,102,105,948,455,174,34,-192,-270,112,114.75,-350,-235.25,0.44103194103194104,0.32558139534883723,0.8111111111111111
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,C,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,PF,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
2020,Houston Rockets,Gonzaga,Kelly Olynyk,210.82,108.86208,PF,70,1997,337,697,0.484,126,368,0.342,145,175,0.829,87,402,489,203,79,42,126,207,945,360,242,30,-46,-348,115,181.9,-279,-97.1,0.4835007173601148,0.3423913043478261,0.8285714285714286
